 10 
 250 3120 
 1 4 -70 
 1 23 -60 
 1 24 54 
 1 33 -78 
 1 35 -26 
 1 39 89 
 1 48 -73 
 1 57 35 
 1 65 95 
 1 67 -89 
 1 97 6 
 1 100 -85 
 1 123 61 
 1 130 -82 
 1 142 85 
 1 144 43 
 1 153 -69 
 1 167 80 
 1 181 -28 
 1 182 11 
 1 188 86 
 1 197 83 
 1 212 64 
 2 3 3 
 2 13 -43 
 2 17 -88 
 2 19 31 
 2 22 -97 
 2 40 24 
 2 48 4 
 2 50 -14 
 2 67 -19 
 2 70 -78 
 2 85 54 
 2 106 100 
 2 122 73 
 2 133 -37 
 2 155 -28 
 2 160 -67 
 2 176 -88 
 2 185 -80 
 2 205 75 
 2 218 -48 
 2 224 13 
 2 226 73 
 2 231 55 
 2 241 50 
 2 246 -97 
 2 247 -91 
 2 250 -27 
 3 3 -41 
 3 7 -30 
 3 17 11 
 3 22 61 
 3 33 -7 
 3 34 48 
 3 44 -82 
 3 83 -52 
 3 101 -33 
 3 106 -66 
 3 116 -22 
 3 121 -78 
 3 138 78 
 3 148 -88 
 3 149 -7 
 3 162 47 
 3 164 -28 
 3 165 75 
 3 170 35 
 3 174 69 
 3 180 -37 
 3 194 39 
 3 209 98 
 3 228 -50 
 3 242 100 
 3 250 19 
 4 43 35 
 4 58 -12 
 4 65 5 
 4 86 -49 
 4 118 -93 
 4 137 12 
 4 138 28 
 4 164 -80 
 4 177 -76 
 4 180 17 
 4 183 -13 
 4 187 92 
 4 205 -36 
 4 208 -75 
 4 209 20 
 4 221 -3 
 4 224 88 
 4 231 -78 
 4 237 -48 
 5 6 94 
 5 8 -74 
 5 14 -92 
 5 24 -81 
 5 26 98 
 5 31 -70 
 5 41 23 
 5 56 60 
 5 76 -88 
 5 103 13 
 5 105 -8 
 5 134 19 
 5 138 40 
 5 139 77 
 5 140 10 
 5 145 -19 
 5 155 51 
 5 164 40 
 5 178 -60 
 5 179 -22 
 5 180 23 
 5 187 -32 
 5 195 9 
 5 203 -89 
 5 213 -26 
 5 240 -48 
 6 13 -18 
 6 24 29 
 6 31 -83 
 6 33 -75 
 6 37 -82 
 6 48 12 
 6 66 96 
 6 75 1 
 6 110 22 
 6 128 86 
 6 137 94 
 6 142 51 
 6 149 78 
 6 153 -48 
 6 157 44 
 6 177 -73 
 6 178 29 
 6 202 -18 
 6 206 -57 
 6 219 54 
 6 224 -35 
 6 237 -17 
 6 248 27 
 6 249 91 
 7 23 2 
 7 27 -92 
 7 43 -55 
 7 53 1 
 7 77 61 
 7 87 -61 
 7 97 45 
 7 130 -74 
 7 131 14 
 7 136 -50 
 7 170 -50 
 7 174 22 
 7 185 -56 
 7 187 -98 
 7 199 93 
 8 11 -97 
 8 15 69 
 8 19 95 
 8 32 -69 
 8 34 -80 
 8 60 -82 
 8 61 -10 
 8 65 -72 
 8 67 -92 
 8 69 32 
 8 72 -28 
 8 81 -70 
 8 89 -84 
 8 104 -76 
 8 115 55 
 8 124 -3 
 8 134 -18 
 8 136 -91 
 8 167 -76 
 8 169 98 
 8 177 46 
 8 198 74 
 8 211 43 
 8 217 -96 
 8 232 38 
 8 240 2 
 8 250 81 
 9 11 -45 
 9 21 1 
 9 25 69 
 9 36 95 
 9 37 57 
 9 47 -17 
 9 61 69 
 9 74 -66 
 9 81 67 
 9 83 30 
 9 88 60 
 9 92 -8 
 9 97 -57 
 9 99 76 
 9 113 -65 
 9 124 89 
 9 125 71 
 9 145 -53 
 9 148 61 
 9 149 87 
 9 160 90 
 9 180 29 
 9 192 -47 
 9 195 -62 
 9 205 28 
 9 206 5 
 9 207 -86 
 9 225 -44 
 9 230 29 
 9 233 99 
 9 243 -36 
 9 244 93 
 9 248 64 
 10 10 -73 
 10 11 -24 
 10 49 83 
 10 57 -77 
 10 76 -87 
 10 78 -34 
 10 81 35 
 10 92 39 
 10 108 70 
 10 133 66 
 10 134 -64 
 10 148 -64 
 10 151 -71 
 10 162 81 
 10 173 -77 
 10 186 11 
 10 195 68 
 10 198 -16 
 10 211 -71 
 10 235 81 
 10 242 24 
 10 248 -81 
 11 13 -25 
 11 14 -65 
 11 23 6 
 11 31 -79 
 11 34 -58 
 11 47 -91 
 11 60 -2 
 11 62 -9 
 11 81 89 
 11 83 61 
 11 84 -4 
 11 87 -88 
 11 96 -88 
 11 105 -32 
 11 112 -65 
 11 131 68 
 11 146 -47 
 11 170 -46 
 11 173 -97 
 11 196 50 
 11 211 57 
 11 214 73 
 11 216 90 
 11 217 -96 
 11 231 8 
 11 243 -25 
 12 12 -28 
 12 20 45 
 12 24 73 
 12 29 -50 
 12 36 -80 
 12 50 -73 
 12 58 43 
 12 65 96 
 12 81 80 
 12 92 -30 
 12 97 -42 
 12 117 -54 
 12 119 26 
 12 120 26 
 12 128 -49 
 12 136 77 
 12 143 34 
 12 145 30 
 12 159 -42 
 12 167 -65 
 12 172 15 
 12 186 39 
 12 191 -59 
 12 198 -93 
 12 214 66 
 12 221 90 
 12 227 -75 
 12 239 -75 
 12 248 50 
 13 13 57 
 13 23 66 
 13 25 84 
 13 26 -95 
 13 37 -32 
 13 70 23 
 13 79 -10 
 13 80 -44 
 13 99 16 
 13 106 -32 
 13 108 -36 
 13 109 -60 
 13 125 33 
 13 137 96 
 13 172 23 
 13 175 91 
 13 190 -94 
 13 192 -17 
 13 201 -84 
 13 202 -9 
 13 211 -5 
 14 16 -38 
 14 34 -24 
 14 37 23 
 14 48 -24 
 14 53 18 
 14 65 -26 
 14 104 11 
 14 108 33 
 14 109 -50 
 14 123 -1 
 14 124 54 
 14 145 22 
 14 177 20 
 14 181 34 
 14 189 -93 
 14 223 62 
 14 238 -68 
 14 239 -44 
 14 247 18 
 15 32 -35 
 15 36 31 
 15 47 -42 
 15 56 28 
 15 63 10 
 15 71 -14 
 15 72 -39 
 15 81 -66 
 15 86 -41 
 15 93 -84 
 15 115 -81 
 15 122 -34 
 15 140 63 
 15 143 -4 
 15 155 83 
 15 160 -29 
 15 179 87 
 15 182 51 
 15 185 -86 
 15 188 95 
 15 193 -80 
 15 199 82 
 15 203 64 
 15 218 35 
 16 19 -91 
 16 27 83 
 16 29 62 
 16 32 -59 
 16 38 35 
 16 43 -90 
 16 47 81 
 16 58 -7 
 16 61 82 
 16 73 -38 
 16 96 12 
 16 101 -2 
 16 107 -91 
 16 128 57 
 16 132 -64 
 16 147 94 
 16 153 -46 
 16 157 12 
 16 159 -58 
 16 161 99 
 16 166 68 
 16 174 -80 
 16 181 80 
 16 197 -30 
 16 206 95 
 16 228 -34 
 17 17 -34 
 17 24 78 
 17 44 -59 
 17 47 -12 
 17 50 -88 
 17 54 -2 
 17 57 38 
 17 82 36 
 17 88 44 
 17 89 48 
 17 103 -43 
 17 120 -56 
 17 140 -10 
 17 157 -33 
 17 162 95 
 17 173 41 
 17 184 100 
 17 185 -49 
 17 198 -40 
 17 210 -92 
 17 223 -45 
 17 227 -3 
 17 241 -86 
 17 243 -30 
 18 23 87 
 18 39 -36 
 18 45 -42 
 18 52 -26 
 18 55 78 
 18 59 -41 
 18 60 -33 
 18 75 -97 
 18 84 -7 
 18 87 -73 
 18 88 -25 
 18 94 80 
 18 103 29 
 18 104 38 
 18 110 59 
 18 124 17 
 18 134 86 
 18 151 23 
 18 153 -93 
 18 159 -88 
 18 162 32 
 18 171 29 
 18 180 84 
 18 212 83 
 18 242 68 
 19 22 -53 
 19 27 -1 
 19 30 24 
 19 48 69 
 19 69 -16 
 19 77 51 
 19 83 15 
 19 92 46 
 19 112 28 
 19 115 -95 
 19 138 -98 
 19 140 67 
 19 143 -74 
 19 174 96 
 19 196 -97 
 19 204 80 
 19 208 -44 
 19 235 88 
 19 243 -10 
 19 244 85 
 19 246 -76 
 20 34 -97 
 20 36 22 
 20 41 64 
 20 60 37 
 20 70 32 
 20 108 -32 
 20 115 -43 
 20 119 45 
 20 127 -58 
 20 152 -73 
 20 154 -17 
 20 159 30 
 20 174 31 
 20 224 93 
 20 229 63 
 20 235 -51 
 20 249 -41 
 21 22 -88 
 21 34 47 
 21 53 36 
 21 65 -10 
 21 92 97 
 21 111 19 
 21 120 -83 
 21 124 61 
 21 127 -79 
 21 150 69 
 21 157 -68 
 21 159 -87 
 21 187 -33 
 21 197 91 
 21 204 -96 
 21 206 37 
 21 249 51 
 22 27 -27 
 22 73 28 
 22 78 -78 
 22 83 93 
 22 84 7 
 22 86 69 
 22 95 -44 
 22 104 41 
 22 123 7 
 22 128 -16 
 22 136 -31 
 22 143 -88 
 22 159 -72 
 22 179 -83 
 22 207 67 
 22 216 -66 
 22 222 52 
 22 228 -53 
 22 232 -6 
 22 238 67 
 22 244 72 
 22 245 -95 
 23 39 -25 
 23 45 -23 
 23 55 -18 
 23 74 52 
 23 87 90 
 23 95 -65 
 23 97 -3 
 23 111 21 
 23 114 -25 
 23 115 82 
 23 123 -49 
 23 154 -25 
 23 171 -36 
 23 175 61 
 23 186 98 
 23 200 23 
 23 208 -32 
 23 209 42 
 23 210 -68 
 23 212 -30 
 23 214 -24 
 23 216 99 
 23 222 48 
 23 232 65 
 23 239 -63 
 23 241 -20 
 23 243 -34 
 24 25 67 
 24 27 51 
 24 34 94 
 24 35 63 
 24 41 -74 
 24 48 -28 
 24 63 32 
 24 90 30 
 24 93 71 
 24 100 -65 
 24 105 97 
 24 106 -49 
 24 108 -97 
 24 127 -15 
 24 133 -19 
 24 138 81 
 24 146 81 
 24 147 35 
 24 166 -37 
 24 172 -48 
 24 197 -12 
 24 199 48 
 24 202 8 
 24 217 -58 
 24 219 64 
 24 223 -22 
 24 225 -43 
 24 232 21 
 24 240 28 
 25 32 -49 
 25 34 -48 
 25 37 -38 
 25 39 -95 
 25 54 45 
 25 55 -63 
 25 66 -50 
 25 75 -27 
 25 84 -84 
 25 91 50 
 25 94 -68 
 25 101 32 
 25 124 75 
 25 127 96 
 25 153 -61 
 25 163 35 
 25 171 -96 
 25 174 -17 
 25 176 97 
 25 183 -95 
 25 192 55 
 25 198 35 
 25 204 89 
 25 206 -1 
 25 239 -26 
 26 50 65 
 26 61 -84 
 26 63 23 
 26 64 -90 
 26 76 51 
 26 89 9 
 26 104 -80 
 26 112 -7 
 26 114 9 
 26 115 73 
 26 125 -42 
 26 126 12 
 26 136 21 
 26 157 54 
 26 198 -13 
 26 203 -28 
 26 213 -29 
 26 217 -13 
 26 219 -48 
 26 221 -96 
 26 229 -70 
 26 232 57 
 26 238 -35 
 26 245 44 
 27 32 -38 
 27 43 10 
 27 60 -74 
 27 66 -58 
 27 68 6 
 27 82 -90 
 27 108 -12 
 27 138 59 
 27 148 39 
 27 159 59 
 27 171 79 
 27 179 6 
 27 186 56 
 27 188 -33 
 27 189 -60 
 27 202 -50 
 27 209 45 
 27 218 100 
 27 235 -61 
 27 238 66 
 27 239 2 
 27 245 -40 
 28 33 -24 
 28 35 44 
 28 38 94 
 28 39 78 
 28 40 -47 
 28 99 -49 
 28 104 77 
 28 105 -65 
 28 111 -12 
 28 120 26 
 28 129 -18 
 28 148 -20 
 28 162 -61 
 28 169 -73 
 28 195 45 
 28 198 80 
 28 204 53 
 28 225 35 
 29 31 -30 
 29 33 55 
 29 50 52 
 29 67 -29 
 29 68 71 
 29 76 -72 
 29 92 -7 
 29 104 5 
 29 107 84 
 29 113 33 
 29 125 -16 
 29 143 -70 
 29 154 -87 
 29 160 -59 
 29 162 81 
 29 175 27 
 29 177 88 
 29 191 -7 
 29 209 -97 
 29 214 69 
 29 222 17 
 29 223 -52 
 29 224 24 
 29 225 65 
 29 239 -78 
 29 248 -48 
 29 249 -97 
 30 32 -84 
 30 65 51 
 30 71 -75 
 30 88 97 
 30 101 -39 
 30 105 44 
 30 106 -64 
 30 107 61 
 30 108 -34 
 30 113 47 
 30 151 -54 
 30 160 -75 
 30 161 71 
 30 166 -17 
 30 175 45 
 30 181 -32 
 30 204 64 
 30 213 -49 
 30 239 50 
 30 245 19 
 30 247 -83 
 31 38 62 
 31 54 -78 
 31 57 8 
 31 63 -54 
 31 88 62 
 31 97 29 
 31 100 -24 
 31 103 -89 
 31 105 -49 
 31 115 -35 
 31 120 63 
 31 135 55 
 31 143 90 
 31 154 34 
 31 158 -33 
 31 160 -28 
 31 165 -40 
 31 173 67 
 31 189 -35 
 31 191 -37 
 31 200 48 
 31 206 4 
 31 213 49 
 31 216 -37 
 31 223 -62 
 31 238 -88 
 31 248 94 
 31 249 -46 
 32 32 45 
 32 52 64 
 32 67 38 
 32 71 -73 
 32 105 53 
 32 111 70 
 32 116 -97 
 32 117 -3 
 32 140 -72 
 32 145 45 
 32 153 14 
 32 216 -79 
 32 218 67 
 32 224 -16 
 32 233 -69 
 32 247 -88 
 32 250 -84 
 33 41 -14 
 33 75 -84 
 33 85 13 
 33 88 81 
 33 92 25 
 33 107 -94 
 33 109 12 
 33 130 -50 
 33 138 -27 
 33 141 -85 
 33 158 74 
 33 162 73 
 33 164 20 
 33 168 29 
 33 186 49 
 33 198 -72 
 33 199 -73 
 33 206 76 
 33 207 53 
 33 239 -72 
 34 62 -96 
 34 63 14 
 34 73 63 
 34 80 74 
 34 93 -46 
 34 97 66 
 34 98 89 
 34 123 42 
 34 127 -20 
 34 129 21 
 34 137 -25 
 34 146 -51 
 34 147 -83 
 34 166 -46 
 34 183 100 
 34 198 59 
 34 216 4 
 34 224 -12 
 34 225 58 
 34 243 -5 
 35 69 70 
 35 74 48 
 35 76 -41 
 35 83 -60 
 35 96 35 
 35 120 -37 
 35 135 74 
 35 146 79 
 35 147 -26 
 35 148 55 
 35 150 -76 
 35 165 23 
 35 179 -59 
 35 221 68 
 35 224 62 
 35 232 -61 
 36 46 -76 
 36 59 60 
 36 75 -85 
 36 76 34 
 36 78 33 
 36 94 12 
 36 110 -17 
 36 118 16 
 36 119 94 
 36 124 -99 
 36 136 -47 
 36 152 -62 
 36 180 -24 
 36 185 9 
 36 198 55 
 36 202 -95 
 36 210 -20 
 36 215 -32 
 36 221 -18 
 36 223 -39 
 36 228 99 
 36 243 26 
 37 40 36 
 37 43 85 
 37 48 -29 
 37 53 91 
 37 56 -3 
 37 65 97 
 37 83 -70 
 37 84 -95 
 37 113 -42 
 37 119 96 
 37 125 -53 
 37 132 47 
 37 144 -69 
 37 149 81 
 37 159 40 
 37 160 -41 
 37 162 -8 
 37 166 60 
 37 168 -4 
 37 169 69 
 37 175 65 
 37 220 65 
 37 231 2 
 37 246 92 
 37 248 31 
 38 43 91 
 38 46 43 
 38 53 -26 
 38 91 25 
 38 94 97 
 38 112 24 
 38 114 -49 
 38 120 -25 
 38 128 -64 
 38 139 53 
 38 147 87 
 38 165 94 
 38 166 -57 
 38 170 56 
 38 178 32 
 38 203 -21 
 38 212 -30 
 38 244 33 
 38 250 -42 
 39 47 -56 
 39 63 -68 
 39 69 7 
 39 74 -64 
 39 103 -38 
 39 107 -70 
 39 112 -52 
 39 121 -2 
 39 122 63 
 39 140 -42 
 39 169 59 
 39 178 87 
 39 179 39 
 39 198 -25 
 39 200 30 
 39 211 31 
 39 218 -7 
 39 227 -44 
 40 57 -92 
 40 60 -3 
 40 76 -17 
 40 77 -62 
 40 85 -8 
 40 86 -38 
 40 104 51 
 40 129 -63 
 40 157 -46 
 40 160 -69 
 40 170 77 
 40 173 51 
 40 196 -68 
 40 202 57 
 40 203 -14 
 40 211 -9 
 40 218 -4 
 40 222 42 
 40 241 -5 
 40 244 7 
 41 49 -45 
 41 57 -71 
 41 72 -45 
 41 95 -79 
 41 97 -54 
 41 104 -85 
 41 108 -35 
 41 118 -99 
 41 120 -64 
 41 121 70 
 41 131 39 
 41 147 -94 
 41 151 -38 
 41 153 86 
 41 164 85 
 41 180 15 
 41 183 -52 
 41 196 3 
 41 199 -93 
 41 204 -76 
 41 218 73 
 41 222 -45 
 41 230 64 
 41 246 -34 
 41 247 8 
 42 69 20 
 42 80 -28 
 42 108 -42 
 42 111 6 
 42 151 -87 
 42 153 -1 
 42 168 -77 
 42 174 28 
 42 185 -25 
 42 192 91 
 42 202 20 
 43 56 1 
 43 79 -98 
 43 89 79 
 43 96 29 
 43 97 65 
 43 121 30 
 43 131 48 
 43 135 98 
 43 143 -19 
 43 144 -20 
 43 151 61 
 43 154 33 
 43 158 45 
 43 159 -50 
 43 173 42 
 43 186 97 
 43 189 72 
 43 199 -30 
 43 213 13 
 43 218 -84 
 43 222 -2 
 43 235 98 
 44 44 58 
 44 45 63 
 44 48 -10 
 44 58 -42 
 44 74 24 
 44 87 -37 
 44 95 51 
 44 96 -11 
 44 105 78 
 44 135 -43 
 44 136 -82 
 44 155 82 
 44 172 64 
 44 185 20 
 44 189 -73 
 44 190 -98 
 44 194 -79 
 44 203 -77 
 44 211 -99 
 44 213 -69 
 44 215 52 
 44 250 10 
 45 98 89 
 45 114 -91 
 45 120 46 
 45 123 -73 
 45 125 94 
 45 126 -49 
 45 137 -27 
 45 164 -62 
 45 167 9 
 45 170 80 
 45 195 20 
 45 201 69 
 45 216 -94 
 45 235 -6 
 45 236 89 
 46 56 -67 
 46 75 62 
 46 76 48 
 46 79 -82 
 46 81 61 
 46 100 -31 
 46 112 14 
 46 114 -22 
 46 116 -96 
 46 124 -14 
 46 129 -83 
 46 158 -26 
 46 172 -54 
 46 176 -57 
 46 184 -93 
 46 186 74 
 46 203 -6 
 46 226 48 
 46 236 46 
 46 241 28 
 46 250 98 
 47 51 100 
 47 53 -44 
 47 80 82 
 47 116 20 
 47 124 33 
 47 127 1 
 47 129 -6 
 47 133 -82 
 47 156 17 
 47 164 -4 
 47 167 87 
 47 168 -85 
 47 171 28 
 47 175 83 
 47 181 -14 
 47 191 50 
 47 195 -42 
 47 196 77 
 47 204 -29 
 47 208 -43 
 47 222 94 
 47 225 84 
 47 247 8 
 47 250 81 
 48 60 -66 
 48 70 -84 
 48 73 -37 
 48 94 -57 
 48 95 -2 
 48 119 -1 
 48 138 -45 
 48 141 75 
 48 181 38 
 48 200 55 
 49 67 60 
 49 85 74 
 49 89 -3 
 49 107 -46 
 49 132 78 
 49 137 69 
 49 139 74 
 49 154 -95 
 49 158 34 
 49 190 -83 
 49 203 40 
 49 209 -20 
 49 219 -12 
 49 226 10 
 49 228 -33 
 49 229 -9 
 49 241 53 
 49 244 91 
 50 52 -26 
 50 55 -48 
 50 67 -73 
 50 78 -90 
 50 82 100 
 50 83 67 
 50 87 59 
